[2026-04-15 14:39:36] ID: Chofer_01 | Lat: -34.6472743 | Lng: -58.4580802 | Status: activo
[2026-04-15 15:30:50] ID: Chofer_01 | Lat: -34.647263 | Lng: -58.4580882 | Status: inactivo
[2026-04-15 15:30:51] ID: Chofer_01 | Lat: -34.647263 | Lng: -58.4580882 | Status: inactivo
[2026-04-15 15:34:48] ID: Chofer_01 | Lat: -34.6472652 | Lng: -58.4580779 | Status: activo
[2026-04-15 15:34:50] ID: Chofer_01 | Lat: -34.6472652 | Lng: -58.4580779 | Status: activo
[2026-04-15 15:34:57] ID: Chofer_01 | Lat: -34.6472591 | Lng: -58.4580841 | Status: activo
[2026-04-15 15:34:57] ID: Chofer_01 | Lat: -34.6472591 | Lng: -58.4580841 | Status: inactivo
[2026-04-15 15:34:58] ID: Chofer_01 | Lat: -34.6472591 | Lng: -58.4580841 | Status: inactivo
[2026-04-15 15:34:58] ID: Chofer_01 | Lat: -34.6472591 | Lng: -58.4580841 | Status: inactivo
[2026-04-15 15:35:04] ID: Chofer_01 | Lat: -34.6472595 | Lng: -58.4580784 | Status: activo
[2026-04-15 15:35:08] ID: Chofer_01 | Lat: -34.6472595 | Lng: -58.4580784 | Status: activo
[2026-04-15 15:35:14] ID: Chofer_01 | Lat: -34.6472679 | Lng: -58.4580902 | Status: activo
[2026-04-15 15:35:15] ID: Chofer_01 | Lat: -34.6472679 | Lng: -58.4580902 | Status: inactivo
[2026-04-15 15:35:15] ID: Chofer_01 | Lat: -34.6472679 | Lng: -58.4580902 | Status: inactivo
[2026-04-15 15:35:16] ID: Chofer_01 | Lat: -34.6472679 | Lng: -58.4580902 | Status: inactivo
[2026-04-15 15:36:45] ID: Chofer_01 | Lat: -34.6472708 | Lng: -58.4580781 | Status: activo
[2026-04-15 15:36:49] ID: Chofer_01 | Lat: -34.6472708 | Lng: -58.4580781 | Status: activo
[2026-04-15 15:36:51] ID: Chofer_01 | Lat: -34.6472708 | Lng: -58.4580781 | Status: inactivo
[2026-04-15 15:36:51] ID: Chofer_01 | Lat: -34.6472708 | Lng: -58.4580781 | Status: inactivo
[2026-04-15 15:36:52] ID: Chofer_01 | Lat: -34.6472708 | Lng: -58.4580781 | Status: inactivo
[2026-04-15 15:37:03] ID: Chofer_01 | Lat: -34.6472711 | Lng: -58.4580868 | Status: activo
[2026-04-15 15:37:07] ID: Chofer_01 | Lat: -34.6472711 | Lng: -58.4580868 | Status: activo
[2026-04-15 15:37:10] ID: Chofer_01 | Lat: -34.6472652 | Lng: -58.4580792 | Status: inactivo
[2026-04-15 15:37:11] ID: Chofer_01 | Lat: -34.6472652 | Lng: -58.4580792 | Status: inactivo
[2026-04-15 15:37:12] ID: Chofer_01 | Lat: -34.6472652 | Lng: -58.4580792 | Status: inactivo
[2026-04-15 15:37:35] ID: Fabian | Lat: -34.6472672 | Lng: -58.4580927 | Status: activo
[2026-04-15 15:37:39] ID: Fabian | Lat: -34.6472672 | Lng: -58.4580927 | Status: activo
[2026-04-15 15:37:41] ID: Fabian | Lat: -34.6472672 | Lng: -58.4580927 | Status: inactivo
[2026-04-15 15:37:42] ID: Fabian | Lat: -34.6472672 | Lng: -58.4580927 | Status: inactivo
[2026-04-15 15:37:42] ID: Fabian | Lat: -34.6472672 | Lng: -58.4580927 | Status: inactivo
[2026-04-15 18:41:10] ID: Chofer_01 | Lat: -34.6472671 | Lng: -58.4580731 | Status: activo
[2026-04-15 18:41:12] ID: Chofer_01 | Lat: -34.6472671 | Lng: -58.4580731 | Status: activo
[2026-04-15 18:41:16] ID: Chofer_01 | Lat: -34.6472688 | Lng: -58.4580645 | Status: activo
[2026-04-15 18:41:18] ID: Chofer_01 | Lat: -34.6472688 | Lng: -58.4580645 | Status: inactivo
[2026-04-15 18:41:19] ID: Chofer_01 | Lat: -34.6472688 | Lng: -58.4580645 | Status: inactivo
[2026-04-15 18:41:20] ID: Chofer_01 | Lat: -34.6472688 | Lng: -58.4580645 | Status: inactivo
[2026-04-15 18:52:30] ID: Chofer_01 | Lat: -34.64726 | Lng: -58.4580841 | Status: activo
[2026-04-15 18:52:33] ID: Chofer_01 | Lat: -34.64726 | Lng: -58.4580841 | Status: activo
[2026-04-15 18:52:38] ID: Chofer_01 | Lat: -34.6472678 | Lng: -58.4580868 | Status: inactivo
[2026-04-15 18:52:39] ID: Chofer_01 | Lat: -34.6472678 | Lng: -58.4580868 | Status: inactivo
[2026-04-15 18:52:40] ID: Chofer_01 | Lat: -34.6472678 | Lng: -58.4580868 | Status: inactivo
[2026-04-15 19:57:49] ID: Chofer_01 | Lat: -34.6472697 | Lng: -58.4580815 | Status: activo
[2026-04-15 19:57:52] ID: Chofer_01 | Lat: -34.6473014 | Lng: -58.4580809 | Status: activo
[2026-04-15 19:57:56] ID: Chofer_01 | Lat: -34.6473177 | Lng: -58.4580758 | Status: inactivo
[2026-04-15 19:57:56] ID: Chofer_01 | Lat: -34.647322 | Lng: -58.4580725 | Status: inactivo
[2026-04-15 19:57:57] ID: Chofer_01 | Lat: -34.647322 | Lng: -58.4580725 | Status: inactivo
[2026-04-15 19:58:11] ID: Fabian | Lat: -34.6472806 | Lng: -58.4580812 | Status: activo
[2026-04-15 19:58:15] ID: Fabian | Lat: -34.6472806 | Lng: -58.4580812 | Status: activo
[2026-04-15 19:58:16] ID: Fabian | Lat: -34.6472806 | Lng: -58.4580812 | Status: inactivo
[2026-04-15 19:58:17] ID: Fabian | Lat: -34.6472581 | Lng: -58.4580741 | Status: inactivo
[2026-04-15 19:58:18] ID: Fabian | Lat: -34.6472581 | Lng: -58.4580741 | Status: inactivo
